DateKey,Date,Day,DaySuffix,Weekday,WeekDayName,WeekDayName_Short,WeekDayName_FirstLetter,DOWInMonth,DayOfYear,WeekOfMonth,WeekOfYear,Month,MonthName,MonthName_Short,MonthName_FirstLetter,Quarter,QuarterName,Year,MMYYYY,MonthYear,IsWeekend
20231006,2023-10-06,6,th,6,Friday,FRI,F,6,279,1,40,10,October,OCT,O,4,fourth,2023,102023,2023OCT,0
20240202,2024-02-02,2,nd,6,Friday,FRI,F,2,33,1,5,2,February,FEB,F,1,First,2024,22024,2024FEB,0
20001202,2000-12-02,2,nd,7,Saturday,SAT,S,2,337,1,49,12,December,DEC,D,4,fourth,2000,122000,2000DEC,1
20010429,2001-04-29,29,th,1,Sunday,SUN,S,29,119,5,18,4,April,APR,A,2,second,2001,42001,2001APR,1
20100614,2010-06-14,14,th,2,Monday,MON,M,14,165,3,25,6,June,JUN,J,2,second,2010,62010,2010JUN,0
20090905,2009-09-05,5,th,7,Saturday,SAT,S,5,248,1,36,9,September,SEP,S,3,third,2009,92009,2009SEP,1
20101224,2010-12-24,24,th,6,Friday,FRI,F,24,358,4,52,12,December,DEC,D,4,fourth,2010,122010,2010DEC,0
20071231,2007-12-31,31,st,2,Monday,MON,M,31,365,6,53,12,December,DEC,D,4,fourth,2007,122007,2007DEC,0
20140422,2014-04-22,22,nd,3,Tuesday,TUE,T,22,112,4,17,4,April,APR,A,2,second,2014,42014,2014APR,0
20141115,2014-11-15,15,th,7,Saturday,SAT,S,15,319,3,46,11,November,NOV,N,4,fourth,2014,112014,2014NOV,1
20120219,2012-02-19,19,th,1,Sunday,SUN,S,19,50,4,8,2,February,FEB,F,1,First,2012,22012,2012FEB,1
20191107,2019-11-07,7,th,5,Thursday,THU,T,7,311,2,45,11,November,NOV,N,4,fourth,2019,112019,2019NOV,0
20140113,2014-01-13,13,th,2,Monday,MON,M,13,13,3,3,1,January,JAN,J,1,First,2014,12014,2014JAN,0
20200831,2020-08-31,31,st,2,Monday,MON,M,31,244,6,36,8,August,AUG,A,3,third,2020,82020,2020AUG,0
20231114,2023-11-14,14,th,3,Tuesday,TUE,T,14,318,3,46,11,November,NOV,N,4,fourth,2023,112023,2023NOV,0
20000124,2000-01-24,24,th,2,Monday,MON,M,24,24,5,5,1,January,JAN,J,1,First,2000,12000,2000JAN,0
